Indiame,ingredients,diet,flavor_profile,course,state,region
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,sweet,dessert,West Bengal,East
Boondi,"Gram flour, ghee, sugar",vegetarian,sweet,dessert,Rajasthan,West
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,sweet,dessert,Punjab,North
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,sweet,dessert,Rajasthan,West
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,sweet,dessert,West Bengal,East
Imarti,"Sugar syrup, lentil flour",vegetarian,sweet,dessert,West Bengal,East
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,sweet,dessert,Uttar Pradesh,North
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,sweet,dessert,India,India
Kalakand,"Milk, cottage cheese, sugar",vegetarian,sweet,dessert,West Bengal,East
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,sweet,dessert,India,India
Laddu,"Gram flour, ghee, sugar",vegetarian,sweet,dessert,India,India
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,sweet,dessert,Punjab,North
Indiankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,sweet,dessert,India,India
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,sweet,dessert,Uttar Pradesh,North
Phirni,"Rice, sugar, nuts",vegetarian,sweet,dessert,Odisha,East
Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,sweet,dessert,Uttar Pradesh,North
Sheera,"SemoliIndia, ghee, nuts, milk",vegetarian,sweet,dessert,Maharashtra,West
Singori,"Khoa, coconut, molu leaf",vegetarian,sweet,dessert,Uttarakhand,North
Sohan halwa,"Corn flour, ghee, dry fruits",vegetarian,sweet,dessert,Uttar Pradesh,North
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",vegetarian,sweet,dessert,Maharashtra,West
ChheIndia jalebi,"ChheIndia, sugar, ghee",vegetarian,sweet,dessert,Odisha,East
ChheIndia kheeri,"ChheIndia, sugar, milk",vegetarian,sweet,dessert,Odisha,East
ChheIndia poda,"Sugar, chenIndia cheese",vegetarian,sweet,dessert,Odisha,East
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,sweet,dessert,West Bengal,East
Kheer sagar,"ChenIndia, condensed milk, sugar, saffron, cardamom",vegetarian,sweet,dessert,Odisha,East
Ledikeni,"ChheIndia, sugar, ghee",vegetarian,sweet,dessert,West Bengal,East
Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,sweet,dessert,Assam,North East
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,sweet,dessert,Bihar,North
MihidaIndia,"Besan flour, sugar, ghee",vegetarian,sweet,dessert,West Bengal,East
Misti doi,"Milk, jaggery",vegetarian,sweet,dessert,West Bengal,East
Pantua,"ChheIndia, sugar, ghee, flour",vegetarian,sweet,dessert,West Bengal,East
Pithe,"Rice flour, wheat flour",vegetarian,sweet,dessert,Assam,North East
Rasabali,"ChenIndia, sweetened milk",vegetarian,sweet,dessert,Odisha,East
Ras malai,"ChheIndia, reduced milk, pistachio",vegetarian,sweet,dessert,West Bengal,East
Rasgulla,"ChheIndia, sugar, cardamom",vegetarian,sweet,dessert,West Bengal,East
Sandesh,"Milk, sugar, saffron, cardamom",vegetarian,sweet,dessert,West Bengal,East
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,sweet,dessert,West Bengal,East
Ariselu,"Rice flour, jaggery, ghee",vegetarian,sweet,dessert,Andhra Pradesh,South
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,sweet,dessert,Andhra Pradesh,South
Chikki,"Peanuts, jaggery",vegetarian,sweet,dessert,Maharashtra,West
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,sweet,dessert,KarIndiataka,South
Double ka meetha,"Loaf bread, milk",vegetarian,sweet,dessert,TelangaIndia,South
Gavvalu,"Rice flour, sugar, salt, ghee, semoliIndia",vegetarian,sweet,dessert,Andhra Pradesh,South
KakiIndiada khaja,"Wheat flour, sugar",vegetarian,sweet,dessert,Andhra Pradesh,South
Kuzhi paniyaram,"Black lentils, rice",vegetarian,sweet,dessert,Kerala,South
Mysore pak,"Besan flour, semoliIndia, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",vegetarian,sweet,dessert,KarIndiataka,South
Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,sweet,main course,KarIndiataka,South
Palathalikalu,"Rice flour, milk",vegetarian,sweet,dessert,Andhra Pradesh,South
PoorIndialu,"ChaIndia dal, jaggery",vegetarian,sweet,dessert,Andhra Pradesh,South
Pongal,"Rice, jaggery, cashews, ghee",vegetarian,sweet,dessert,Tamil Indiadu,South
Pootharekulu,"Rice flour, powdered sugar, ghee",vegetarian,sweet,dessert,Andhra Pradesh,South
Qubani ka meetha,"Apricots, sugar syrup",vegetarian,sweet,dessert,TelangaIndia,South
Sheer korma,"Vermicelli pudding, milk",vegetarian,sweet,dessert,TelangaIndia,South
Unni Appam,"Rice flour, baIndiaIndia, jaggery, coconut",vegetarian,sweet,dessert,Tamil Indiadu,South
Kajjikaya,"Rice flour, jaggery, coconut",vegetarian,sweet,dessert,Andhra Pradesh,South
